"MERITVE";"SKUPINE";"LETO";Indeksi cen življenjskih potrebšèin in letne stopnje rasti cen
"Letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2019";0.5
"Letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2020";-5.4
"Letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2021";5.9
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2000";18.8
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2001";3.0
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2002";9.1
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2003";6.0
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2004";10.3
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2005";7.1
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2006";1.3
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2007";8.0
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2008";2.4
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2009";6.3
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2010";8.3
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2011";5.0
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2012";1.3
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2013";5.2
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2014";-1.3
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2015";-1.0
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2016";-0.1
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2017";3.6
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2018";4.7
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2019";2.7
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2020";-0.6
"Letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2021";8.6
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2000";5.5
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2001";7.8
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2002";5.4
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2003";2.9
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2004";2.9
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2005";3.4
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2006";5.3
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2007";4.3
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2008";6.5
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2009";1.5
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2010";2.6
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2011";1.4
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2012";-0.7
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2013";-0.9
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2014";-1.3
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2015";-1.1
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2016";0.9
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2017";0.4
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2018";0.9
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2019";0.4
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2020";-0.4
"Letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2021";5.7
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2000";21.6
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2001";3.1
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2002";5.1
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2003";5.2
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2004";0.6
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2005";-1.3
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2006";-0.4
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2007";0.0
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2008";6.7
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2009";0.3
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2010";4.3
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2011";0.0
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2012";0.2
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2013";0.2
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2014";-0.3
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2015";0.7
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2016";0.8
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2017";0.2
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2018";1.3
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2019";1.4
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2020";4.9
"Letne stopnje rasti cen (%)";"06 Zdravstvo";"2021";-0.5
"Letne stopnje rasti cen (%)";"07 Prevoz";"2000";12.7
"Letne stopnje rasti cen (%)";"07 Prevoz";"2001";7.1
"Letne stopnje rasti cen (%)";"07 Prevoz";"2002";7.7
"Letne stopnje rasti cen (%)";"07 Prevoz";"2003";5.8
"Letne stopnje rasti cen (%)";"07 Prevoz";"2004";3.5
"Letne stopnje rasti cen (%)";"07 Prevoz";"2005";1.8
"Letne stopnje rasti cen (%)";"07 Prevoz";"2006";1.1
"Letne stopnje rasti cen (%)";"07 Prevoz";"2007";1.9
"Letne stopnje rasti cen (%)";"07 Prevoz";"2008";-5.4
"Letne stopnje rasti cen (%)";"07 Prevoz";"2009";2.9
"Letne stopnje rasti cen (%)";"07 Prevoz";"2010";0.3
"Letne stopnje rasti cen (%)";"07 Prevoz";"2011";1.4
"Letne stopnje rasti cen (%)";"07 Prevoz";"2012";3.4
"Letne stopnje rasti cen (%)";"07 Prevoz";"2013";-0.3
"Letne stopnje rasti cen (%)";"07 Prevoz";"2014";-2.2
"Letne stopnje rasti cen (%)";"07 Prevoz";"2015";-5.2
"Letne stopnje rasti cen (%)";"07 Prevoz";"2016";-0.1
"Letne stopnje rasti cen (%)";"07 Prevoz";"2017";1.6
"Letne stopnje rasti cen (%)";"07 Prevoz";"2018";-0.7
"Letne stopnje rasti cen (%)";"07 Prevoz";"2019";0.1
"Letne stopnje rasti cen (%)";"07 Prevoz";"2020";-5.9
"Letne stopnje rasti cen (%)";"07 Prevoz";"2021";12.5
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2000";6.2
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2001";12.2
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2002";8.8
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2003";-0.8
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2004";2.4
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2005";-0.5
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2006";1.0
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2007";1.9
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2008";-4.3
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2009";-1.9
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2010";3.2
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2011";-3.3
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2012";-1.1
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2013";-1.5
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2014";-2.5
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2015";5.3
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2016";2.9
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2017";-2.3
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2018";3.3
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2019";-0.4
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2020";0.6
"Letne stopnje rasti cen (%)";"08 Komunikacije";"2021";-3.6
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2000";7.6
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2001";4.9
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2002";6.2
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2003";3.9
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2004";2.6
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2005";2.5
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2006";1.7
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2007";4.7
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2008";3.6
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2009";1.7
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2010";0.4
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2011";-1.2
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2012";0.2
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2013";-0.1
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2014";4.2
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2015";-2.3
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2016";0.2
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2017";0.8
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2018";1.9
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2019";0.6
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2020";-3.9
"Letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2021";3.4
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2000";8.8
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2001";6.5
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2002";9.3
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2003";3.9
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2004";8.0
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2005";7.5
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2006";0.5
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2007";3.6
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2008";6.1
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2009";2.6
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2010";0.7
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2011";1.6
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2012";4.7
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2013";0.0
